## software,category,number,status,domain,set_soft,non_ussc,class_support,level_support,directory,descrip,comment,
ADAM ,1,25,R,,C,,S,A,,Starlink software environment ,Renamed to PCS at USSC129 ,
MOSAIC ,7,7,D,P,B,,N,C,,Hypertext Xwindows browser ,Withdrawn at USSC213, Spring 1999 ,
AIPS ,1,38,%,,D,*,N,C,,Astronomical image processing system ,Available from Manchester ,
EXTRACTOR ,1,80,*,,O,,S,B,/star/sources/extractor ,Astronomical source detection ,,
ORAC-DR ,1,81,*,,O,,N,A,/star/sources/oracdr ,JAC data reduction pipeline system ,,
HXIS ,3,23,D,,O,,U,N,,Hard X-ray imaging spectrometer ,Deleted at USSC111 ,
IDL ,1,39,%,C,R,*,C,B,,Interactive Data Language ,Available from RSI (via RAL) ,
MEMSYS ,2,36,*,C,R,,C,B,/star/memsys ,Maximum entropy image reconstruction ,MEDC ltd; access via group protection only ,
MIDAS ,1,41,%,,D,*,N,D,,Munich image data analysis system ,Available from ESO ,
MONGO ,1,21,%,,O,,N,C,,Interactive plotting programs ,Available from John Tonry ,
NAG ,2,1,*,C,O,,C,B,/star/nag ,Mathematical and Graphical subroutine library ,NAG Ltd. ,
RGASP ,1,45,%,,O,,N,D,,Reduced galaxy surface photometry package ,,
TPOINT ,3,21,D,,O,,U,N,/star/tpoint ,Telescope pointing analysis system ,Deleted at USSC201 ,
VMSBACKUP ,4,96,D,,C,,U,N,,VMS BACKUP tape reading utility ,Deleted at USSC111 ,
XADAM ,1,66,D,,C,,U,N,,GUI for running ADAM applications ,Deleted at USSC179 ,
AST ,2,56,*,,C,,S,A,/star/sources/ast ,Astrometry and WCS library ,,
A2PS ,4,95,*,P,C,,N,D,/star/sources/a2ps ,Ascii to PostScript convertor ,,
AGI ,2,28,*,,C,,S,B,/star/sources/agi ,Applications graphics interface ,,
ARD ,2,51,*,,C,,S,A,/star/sources/ard ,ASCII region definition library ,,
ARY ,2,34,*,,C,,S,A,/star/sources/ary ,ARRAY data structures access routines ,,
ASTROM ,3,2,*,,C,,S,A,/star/sources/astrom ,Basic astrometry ,,
CAT ,2,50,*,,C,,S,A,/star/sources/cat ,Catalogue access library ,,
CATAPP ,1,67,D,,O,,S,A,/star/sources/cat-examples ,Catalogue manipulation examples ,Withdrawn at USSC189. Material now available as CAT examples ,
CCDPACK ,1,48,*,,O,,S,A,/star/sources/ccdpack ,CCD data reduction ,,
CHR ,2,32,*,,C,,S,A,/star/sources/chr ,Character handling routines ,,
CNF ,2,38,*,,C,,S,A,/star/sources/cnf ,C and Fortran mixed programming ,,
COCO ,3,13,*,,C,,S,A,/star/sources/coco ,Conversion of celestial coordinates ,,
CONVERT ,1,34,*,,C,,S,A,/star/sources/convert ,Data format conversion package ,,
DIPSO ,1,17,*,,O,,S,A,/star/sources/dipso ,Spectrum Analysis and Plotting package ,,
DOCFIND ,4,33,*,,C,,S,E,/star/sources/docfind ,Starlink document search ,,
ECHOMOP ,1,65,*,,O,,S,B,/star/sources/echomop ,Echelle data reduction package ,,
ECHWIND ,3,25,*,,O,,N,C,/star/sources/echwind ,UCL echelle spectrograph observation planning ,,
EMS ,2,33,*,,C,,S,A,/star/sources/ems ,Error message service ,,
ESP ,1,69,*,,O,,S,B,/star/sources/esp ,Extended Surface Photometry ,,
EXPECT ,7,10,*,P,B,,S,C,/star/sources/tclsys ,Interactive program control ,,
FIO ,2,43,*,,C,,S,A,/star/sources/fio ,Fortran I/O routines ,,
FITSIO ,2,42,*,,C,,N,C,/star/sources/fitsio ,Disk FITS I/O routines ,,
GENERIC ,4,59,*,,C,,S,D,/star/sources/generic ,Compiling generic Fortran subroutines ,,
GAIA ,1,74,*,,O,,S,A,/star/sources/gaia ,Graphical astronomy and image analysis tool ,,
FLUXES ,1,76,*,,O,,N,B,/star/sources/fluxes ,Planetary position and flux densities ,,
GKS ,2,19,*,C,C,,S,A,/star/sources/gks ,Graphical kernel system (version 7.4) ,,
GNS ,2,30,*,,C,,S,A,/star/sources/gns ,Graphics workstation name service ,,
GRAPHPAR ,2,47,*,,C,,S,A,/star/sources/graphpar ,Adam graphics subroutines ,,
GRP ,2,44,*,,C,,S,A,/star/sources/grp ,Manipulation of groups of objects ,,
GWM ,2,39,*,,C,,S,A,/star/sources/gwm ,X graphics window manager ,,
HDS ,2,25,*,,C,,S,A,/star/sources/hds ,Hierarchical data system ,,
HDSTRACE ,4,87,*,,C,,S,A,/star/sources/hdstrace ,HDS file listing ,,
HLP ,2,37,*,,C,,S,A,/star/sources/hlp ,Interactive help system ,,
HTX ,4,3,*,,C,,S,A,/star/sources/htx ,Hypertext cross-reference utilities ,,
IMG ,2,55,*,,C,,S,A,/star/sources/img ,Simple Image Data Access ,,
INIT ,4,6,*,,C,,S,A,/star/sources/init ,Starlink initialisation files ,,
IFD ,4,8,*,,C,,S,A,/star/sources/ifd ,Interface definition files ,,
IRAFFIG ,1,77,D,,O,,S,A,/star/sources/iraffig ,Figaro for IRAF ,Deleted at Spring 1998 release (USSC211) ,
JPL ,2,21,*,,C,,S,B,/star/sources/jpl ,Solar system ephemeris ,,
KAPPA ,1,26,*,,O,,S,A,/star/sources/kappa ,Kernel application package ,,
MAG ,2,46,*,,C,,S,A,/star/sources/mag ,Magnetic tape handling routines ,,
MERS ,2,45,*,,C,,S,A,/star/sources/err ,Message and error reporting system ,,
MESSGEN ,4,1,*,,C,,S,A,/star/sources/messgen ,Error message generation ,,
NBS ,2,48,*,,C,,S,C,/star/sources/nbs ,Adam Noticeboard System ,,
NDF ,2,35,*,,C,,S,A,/star/sources/ndf ,NDF data structures routines ,,
NEWS ,4,94,*,,C,,S,C,/star/sources/news ,Starlink news system ,,
OBSERVE ,3,31,*,,O,,N,C,/star/sources/observe ,Check star observability ,,
PAR ,2,49,*,,C,,S,A,/star/sources/par ,Interface to ADAM Parameter System ,,
PCS ,2,53,*,,C,,S,A,/star/sources/pcs ,Parameter and Communications subsystem ,,
PDA ,2,54,*,P,C,,S,A,/star/sources/pda ,Public Domain Algorithms ,,
PHOTOM ,1,33,*,,O,,S,B,/star/sources/photom ,Aperture photometry package ,,
PISA ,1,37,*,,O,,S,C,/star/sources/pisa ,Position intensity and shape analysis ,,
POLMAP ,1,72,*,,O,,N,C,/star/sources/polmap ,Interactive Spectropolarimetry data analysis ,,
PRIMDAT ,2,27,*,,C,,S,A,/star/sources/prm ,Processing primitive numerical data ,,
PSMERGE ,4,98,*,,C,,S,A,/star/sources/psmerge ,PostScript file manipulation ,,
PSX ,2,41,*,,C,,S,A,/star/sources/psx ,POSIX interface routines ,,
REF ,2,40,*,,C,,S,A,/star/sources/ref ,HDS referencing handling ,,
RV ,3,17,*,,C,,S,A,/star/sources/rv ,Radial components of observer's velocity ,,
SAE ,2,52,*,,C,,S,A,/star/sources/sae ,Starlink Applications Environment basic files ,,
SKYCAL ,3,32,*,,C,,N,C,/star/sources/skycal ,Interactive almanac and calculator ,,
SLALIB ,2,18,*,,C,,S,A,/star/sources/sla ,Starlink library of subroutines ,,
SPECDRE ,1,47,D,,O,,S,A,/star/sources/specdre ,Spectroscopy data reduction ,Deleted at Spring 1998 release (USSC211) ,
STAR2HTML ,4,4,*,,C,,S,A,/star/sources/star2html ,Starlink documents to hypertext convertor ,,
STARTCL ,4,5,*,,C,,S,A,/star/sources/startcl ,Starlink extensions to TCL and TK ,,
SURF ,1,78,*,,O,,N,B,/star/sources/surf ,SCUBA User Reduction Facility ,,
TCL ,7,8,*,P,B,,S,C,/star/sources/tclsys ,Embeddable tool command language ,,
TK ,7,9,*,P,B,,S,C,/star/sources/tclsys ,An X11 ToolKit ,,
TRANSFORM ,2,29,*,,C,,S,A,/star/sources/trn ,Coordinate transformation facility ,,
XDISPLAY ,4,88,*,,C,,S,A,/star/sources/xdisplay ,Xwindows display setup ,,
FIGARO ,1,24,*,,O,,S,A,/star/sources/figaro ,General data reduction and spectroscopy ,,
SST ,1,42,-,,C,,U,N,,Simple software tools package ,,
IRCAMDR ,1,29,*,,O,,N,C,/star/ircamdr ,IRCAM data reduction software ,Not currently distributed - NAG dependency ,
STARMAN ,1,49,*,,O,,N,B,/star/starman ,Stellar photometry and Image/Table Handling ,Not currently distributed - port for Linux pending ,
IRAS90 ,1,64,*,,O,,N,D,/star/iras90 ,IRAS data reduction suite ,Not currently distributed - NAG dependency ,
CHART ,3,8,%,,O,,U,D,/star/chart ,Finding chart and stellar data system ,Not currently distributed - NAG dependency ,
POLPACK ,1,79,*,,O,,S,A,/star/sources/polpack ,Imaging Polarimetry Reduction package ,,
RPS ,3,24,D,,C,,N,C,/star/sources/rps ,ROSAT proposal submission ,Deleted at USSC213 after the demise of the RSOAT satellite ,
DOCS ,4,12,*,,C,,S,A,/star/sources/docs (/star/docs) ,Starlink documents not bundled with other packages ,,
INFO ,4,13,*,,C,,S,A,/star/sources/info ,Starlink Information Files ,,
STARPERL ,7,25,*,,C,,N,A,/star/sources/starperl ,Starlink Perl modules ,,
NDFPERL ,4,11,R,,O,,N,B,/star/sources/ndfperl ,Perl interface to NDF library ,Now bundled with STARPERL ,
PGP ,2,57,*,,C,,S,C,/star/sources/pgp ,(Starlink-PGPLOT) graphics subroutine library ,This is what was PGPLOT till USSC 213. ,
PGPLOT ,2,16,*,,C,,S,A,/star/sources/pgplot ,(Native-PGPLOT) graphics subroutine library ,Was Starlink-PGPLOT till USSC212. Now Native-PGPLOT from USSC213 ,
TWODSPEC ,1,60,D,,O,,S,B,/star/sources/twodspec ,Longslit spectroscopy ,Deleted at Autumn 1999 release (USSC214) ,
PERL ,7,11,*,P,C,,N,C,/star/sources/perl ,Practical Extraction and Report Language ,,
MAPLE ,4,81,%,C,R,,C,B,,Mathematical manipulation language ,Available from Adept Scientific ltd. Available to UK starlink users on star.rl.ac.uk ,
FORMLOAD ,3,30,D,,C,,N,E,/star/sources/formload ,LaTeX form generator ,Deleted at Autumn 1999 release (USSC214) ,
PERLMODS ,7,24,*,P,C,,N,A,/star/sources/perlmods ,Additional Perl modules from CPAN ,,
CLUSTAN ,4,83,D,C,R,,C,B,,Cluster-analysis package ,Deleted at Spring 2000 release (USSC215) ,
ASTERIX ,1,22,D,,O,,N,B,/star/sources/asterix ,X-ray data processing system ,Deleted at Spring 2000 release (USSC215) ,
REPACK ,1,73,D,,O,,N,C,/star/repack ,ROSAT WFC survey data handling package ,Deleted at Spring 2000 release (USSC215) ,
WFCPACK ,1,44,D,,O,,N,B,/star/wfcpack ,ROSAT Wide Field Camera data reduction ,Deleted at Spring 2000 release (USSC215) ,
KAPLIBS ,2,60,*,,C,,S,A,/star/sources/kaplibs ,KAPPA libraries ,,
NDG ,2,61,*,,C,,S,A,/star/sources/ndg ,NDF group access routines ,,
ONE ,2,62,*,,C,,S,B,/star/sources/one ,Odds and Ends library ,,
ATOOLS ,1,82,*,,O,,S,B,/star/sources/atools ,Astrometry tools ,,
XRT ,1,84,*,,O,,S,C,/star/sources/xrt ,ROSAT XRT data tools ,,
JRE ,7,26,*,,C,,N,A,/star/sources/jre ,Java Runtime Environment ,,
HDSTOOLS,4,50,*,,C,,S,A,/star/sources/hdstools,Tools for Inspecting and Editing HDS Files,,
AUTOASTROM,3,85,*,,C,,S,A,/star/sources/autoastrom,Autoastrometry of Mosaics,New in Summer 2003 (USSC218),
STARJAVA,1,89,*,,O,,S,A,/star/sources/starjava,Starlink Java Infrastructure and Applications Set,New in Summer 2003 (USSC218),
FROG,3,100,*,,O,,S,A,/star/sources/starjava,Display and analysis of time series data,New in USSC218, part of STARJAVA,
SOG,3,101,*,,O,,S,A,/star/sources/starjava,Son of GAIA,New in USSC218, part of STARJAVA,
TABLECOPY,3,102,*,,O,,S,A,/star/sources/starjava,Copy tables from one format to another,New in USSC218, part of STARJAVA,
TOPCAT,3,104,*,,O,,S,A,/star/sources/starjava,Tools for OPerations on Catalogues and Tables,New in USSC218, part of STARJAVA,
ARRAY,2,105,*,,O,,S,A,/star/sources/starjava,N-dimensional array manipulation and I/O,New in USSC218, part of STARJAVA,
ASTGUI,2,106,*,,O,,S,A,/star/sources/starjava,AST specific UI components,New in USSC218, part of STARJAVA,
AXIS,2,107,*,,O,,S,A,/star/sources/starjava,Third generation Apache SOAP,New in USSC218, part of STARJAVA,
FITS,2,110,*,,O,,S,A,/star/sources/starjava,STARJAVA-specific FITS access,New in USSC218, part of STARJAVA,
HDX,2,112,*,,O,,S,A,/star/sources/starjava,A flexible data model for astronomical images,New in USSC218, part of STARJAVA,
JAIUTIL,2,113,*,,O,,S,A,/star/sources/starjava,Utility classes for JAI,New in USSC218, part of STARJAVA,
JETTY,2,114,*,,O,,S,A,/star/sources/starjava,HTTP Server and Servlet Container,New in USSC218, part of STARJAVA,
JSKY,2,115,*,,O,,S,A,/star/sources/starjava,Java Components for Astronomy,New in USSC218, part of STARJAVA,
JUNIT,2,116,*,,O,,S,A,/star/sources/starjava,Third party unit testing framework (junit.*),New in USSC218, part of STARJAVA,
NDX,2,117,*,,O,,S,A,/star/sources/starjava,N-dimensional astronomical object manipulation and I/O,New in USSC218, part of STARJAVA,
PAL,2,118,*,,O,,S,A,/star/sources/starjava,Positional Astronomy Library,New in USSC218, part of STARJAVA,
TABLE,2,120,*,,O,,S,A,/star/sources/starjava,Generic table manipulation and I/O,New in USSC218, part of STARJAVA,
TAMFITS,2,121,*,,O,,S,A,/star/sources/starjava,Third party basic FITS acccess (nom.tam.*),New in USSC218, part of STARJAVA,
UTIL,2,122,*,,O,,S,A,/star/sources/starjava,Miscellaneous utillity classes,New in USSC218, part of STARJAVA,
VOTABLE,2,123,*,,O,,S,A,/star/sources/starjava,VOTable I/O,New in USSC218, part of STARJAVA,
JNIHDS,2,63,*,,O,,S,A,/star/sources/starjava,Java Native Interface to HDS,Moved to STARJAVA in USSC218,
JNIAST ,2,59,*,,O,,S,A,/star/sources/starjava,Java Native interface to AST ,Moved to STARJAVA in USSC218,
TREEVIEW ,4,99,*,,O,,S,A,/star/sources/starjava,Hierarchical data viewer ,Moved to STARJAVA USSC218,
SPLAT ,1,86,*,,O,,S,A,/star/sources/starjava,Spectral data analysis tool ,Moved to STARJAVA in USSC218,
COCO-J,2,108,*,,O,,S,A,/star/sources/starjava,Java UI for Coco,New in USSC218, part of STARJAVA,
HDS-J,2,111,*,,O,,S,A,/star/sources/starjava,Non-native HDS utility classes,New in USSC218, part of STARJAVA,
RV-J,2,119,*,,O,,S,A,/star/sources/starjava,Java UI for RV,New in USSC218, part of STARJAVA,
HELP,1,124,*,,O,,S,A,/star/sources/starjava,Help support classes for Java applications,Nwe in USSC219, part of STARJAVA,
JPCS,2,125,*,,O,,S,A,/star/sources/starjava,Java Parameter and Control System,New in USSC219, part of STARJAVA,
MIRAGE,2,126,*,,O,,S,A,/star/sources/starjava,Support classes for Bell Labs Mirage application,New in USSC219, part of STARJAVA,
NDTOOLS,2,127,*,,O,,S,A,/star/sources/starjava,Tasks for NDX and NDArray manipulation,New in USSC219, part of STARJAVA,
TASK,2,128,*,,O,,S,A,/star/sources/starjava,Experimental parameter system,New in USSC219, part of STARJAVA,
DIVA,2,129,*,,O,,S,A,/star/sources/starjava,Interactive graphics classes,New in USSC219, part of STARJAVA,
SOAPSERVER,1,130,*,,O,,S,A,/star/sources/starjava,Embeddable SOAP server for applications,New in USSC219, part of STARJAVA,
GSD ,2,58,*,,C,,N,B,/star/sources/gsd ,global data section library ,,
ASURV ,3,27,*,,C,,U,D,/star/sources/asurv ,Astronomical survival statistics ,,
CGS4DR ,1,54,*,,O,,N,D,/star/sources/cgs4dr ,CGS4 data reduction ,,
CURSA ,1,71,*,,O,,N,C,/star/sources/cursa ,Catalogue and table manipulation package ,,
DAOPHOT ,1,30,*,,O,,S,C,/star/sources/daophot ,Stellar photometry package ,,
DATACUBE ,1,83,*,,O,,S,D,/star/sources/datacube ,IFU data cude tools ,,
EMAIL ,4,90,*,,C,,U,D,/star/sources/email ,Email address searching ,,
FINDCOORDS ,3,33,*,,O,,N,C,/star/sources/findcoords ,Finding coordinates of named objects ,,
IDI ,2,31,*,,C,,U,D,/star/sources/idi ,Image display interface ,,
IRAFSTAR ,4,7,*,,O,,U,D,/star/sources/irafstar ,IRAF/Starlink inter-operability infrastructure ,,
ICL ,1,57,*,,C,,U,D,/star/sources/icl ,ADAM command language ,,
IRCAMPACK ,1,68,*,,O,,U,D,/star/sources/ircampack ,IRCAM data reduction ,,
IUEDR ,1,15,*,,O,,U,D,/star/sources/iuedr ,IUE data reduction ,,
JCMTDR ,1,53,*,,O,,N,D,/star/sources/jcmtdr,JCMT data reduction,USSC218 port to Linux, no NAG dependency,
JPEG ,7,19,*,P,B,,U,D,/star/sources/jpeg ,IJG JPEG library ,,
KAPRH ,1,84,*,,O,,U,D,/star/sources/kaprh ,Retired KAPPA applications ,,
NAOS ,3,34,*,,O,,N,C,/star/sources/naos ,NAOMI guide start selection ,,
NCAR ,2,22,*,,C,,U,D,/star/sources/ncar ,Graphics utilities ,,
NDPROGS ,1,58,*,,O,,U,D,/star/ndprogs ,n-D analysis ,Obsolete - no longer distributed ,
PERIOD ,1,61,*,,O,,U,D,/star/sources/period ,Time-series analysis ,,
PONGO ,1,56,*,,O,,U,D,/star/sources/pongo ,Interactive data plotting ,,
SAOIMAGE ,1,62,*,,O,,U,D,/star/sources/saoimage ,Astronomical image display ,,
SGS ,2,20,*,,C,,U,D,/star/sources/sgs ,Simple graphics system (version 7.2) ,,
SNX ,2,24,*,,C,,U,D,/star/sources/snx ,Starlink extensions to NCAR graphics utilities ,,
SOFTLINK ,4,97,*,,C,,U,D,/star/sources/softlink ,soft link utility ,,
SPECX ,1,27,*,,O,,N,D,/star/sources/specx ,Millimetre-wave spectral data reduction ,,
SPT ,4,92,*,,C,,U,D,/star/sources/spt ,Software porting tools ,,
STARX ,4,2,*,,C,,U,D,/star/sources/starX ,X library linking ,,
SX ,1,75,*,,O,,U,D,/star/sources/sx ,Starlink extensions to IBM Data explorer ,Requires IBM DX software (licenced) ,
TSP ,1,35,*,,O,,U,D,/star/sources/tsp ,Time series/polarimetry ,,
DOM4J,2,109,D,,O,,S,A,/star/sources/starjava,Third party DOM access library (org.dom4j.*),New in USSC218, part of STARJAVA,
STARADMIN ,7,17,D,,B,,U,D,/star/local/staradmin ,Starlink user database maintainer ,,
IRAF ,1,40,%,,D,*,N,B,/iraf ,Image reduction and analysis facility ,Available from IRAF mirror at RAL or from NOAO ,
ARGSLIB ,2,11,D,,C,,U,N,,ARGS subroutine library ,No port ,
ARGSMAC ,2,12,D,,C,,U,N,,ARGS programming ,No port ,
CATPAC ,1,52,D,,O,,N,D,/star/catpac ,Catalogue applications ,,
EMACS ,7,1,D,P,B,,N,B,/usr/local ,GNU emacs text editor ,,
FTNCHEK ,7,5,D,P,B,,N,C,,Fortran source-code checker ,Location varies - at the site managers discretion ,
GHOSTSCRIPT ,7,15,D,P,B,,N,C,/usr/local/bin ,Postscript interpreter / viewer ,Installation location recommended. ,
GKS6 ,2,2,D,,C,,U,N,,Graphical Kernel System (v6.2) ,No port ,
INTERIM ,2,3,D,,C,,U,N,,Interim software environment ,No port ,
JED ,7,2,D,P,B,,N,C,,Text editor ,Location varies - at the site managers discretion ,
SM ,1,70,%,,R,,N,B,/usr/local ,Interactive graphics package ,UK Starlink Nodes only ,
NUTPU ,7,3,%,C,B,*,C,B,,TPU for SUN systems ,Location varies - at the site managers discretion ,
XANADU ,1,63,D,,D,,N,C,,GSFC software system ,Location varies - at the site managers discretion ,
XV ,4,10,D,C,R,,N,C,,Image viewing utility ,Location varies - at the site managers discretion ,
GCC ,5,1,D,P,A,,S,A,/usr/local ,GNU C compiler ,,
TAPEIO ,2,6,D,,C,,U,N,,Magnetic tape routines ,No port ,
EDFITS ,4,71,D,,C,,N,N,,Copy FITS tapes ,No port ,
XEMACS ,7,22,D,P,B,,S,C,/usr/local ,X derivative of Emacs editor ,,
XFIG ,7,23,D,P,B,,S,C,/usr/local ,X image annotation utility ,,
TCSH ,7,21,D,P,B,,S,C,/usr/local ,Enhanced C shell ,,
GV ,7,20,D,P,B,,S,C,/usr/local ,PostScript viewing utility ,,
LATEX2HTML ,7,16,D,P,B,,S,C,/star/local/bin ,LaTeX to HTML convertor ,Now packaged with LATEX2HTML ,
ISPELL ,7,12,D,P,B,,S,C,/usr/local ,Spelling checker ,,
SPAG ,4,78,D,C,R,,C,B,,Fortran source code unscrambler ,Available on star.rl.ac.uk to UK starlink users ,
FORUM ,7,18,D,,A,,U,D,,Conferencing Facility for the WWW ,Server runs at RAL only ,
PINE ,7,4,D,P,B,,N,B,,Electronic mail interface ,Location varies - at the site managers discretion ,
TEX ,7,6,D,P,B,,N,C,/usr/local/teTeX ,Document preparation system ,,
