## software,class,software_order,deprecated_sw,software_descrip,
A2PS ,TP ,3,n,,
AGI ,GRPH,4,n,,
AIPS ,SE ,3,n,,
ARD ,DAPH,6,n,,
ARY ,DAPL,1,n,,
AST ,DAPH,1,n,,
AST ,PTPH,1,n,,
ASTERIX ,WI ,1,n,,
ASTROM ,PT ,4,n,,
ASURV ,MS ,2,n,,
CAT ,DAPH,7,n,,
CATPAC ,CA ,2,y,,
CCDPACK ,IP ,3,n,,
CGS4DR ,SP ,3,n,,
CGS4DR ,WI ,3,n,,
CHART ,OP ,5,y,,
CHART ,PT ,10,y,,
CHR ,SMPH,1,n,,
CLUSTAN ,MS ,3,n,,
CNF ,ST ,3,n,,
COCO ,OP ,1,n,,
CONVERT ,DH ,1,n,,
CURSA ,CA ,1,n,,
CURSA ,IR ,8,n,,
CURSA ,PT ,6,n,,
DAOPHOT ,IP ,7,n,,
DIPSO ,SP ,2,n,,
DOCFIND ,IR ,10,y,,
ECHOMOP ,SP ,8,n,,
ECHOMOP ,WI ,5,n,,
ECHWIND ,OP ,3,n,,
EMACS ,ED ,1,n,,
EMAIL ,IR ,2,n,,
EMS ,DAPL,7,n,,
EMS ,SMPL,1,n,,
ESP ,IP ,11,n,,
EXPECT ,INPL,3,n,,
FIGARO ,SP ,1,n,,
FIO ,DAPH,5,n,,
FITSIO ,DAPH,2,n,,
FLUXES ,PT ,9,n,,
FLUXES ,WI ,11,n,,
FORMLOAD ,OP ,2,n,,
FORUM ,IR ,7,n,,
FTNCHEK ,ST ,1,n,,
GAIA ,GR ,1,n,,
GAIA ,IP ,1,n,,
GAIA ,IR ,9,n,,
GAIA ,PT ,8,n,,
GCC ,CL ,3,n,,
GENERIC ,ST ,4,n,,
GHOSTSCRIPT ,TP ,2,n,,
GKS ,GRPL,1,n,,
GNS ,GRPL,3,n,,
GRAPHPAR ,GRPH,7,n,,
GWM ,GRPL,2,n,,
HDS ,DAPL,2,n,,
HDSTRACE ,DH ,2,n,,
HDSTRACE ,IP ,9,n,,
HDSTRACE ,SP ,5,n,,
HLP ,SMPL,2,n,,
HTX ,TP ,7,n,,
ICL ,CL ,8,n,,
IDI ,GRPH,9,y,,
IDL ,CL ,5,n,,
IDL ,SE ,2,n,,
IFD ,INPL,7,n,,
IFD ,ST ,7,n,,
IMG ,DAPH,9,n,,
INIT ,INPL,6,n,,
IRAF ,SE ,1,n,,
IRAFSTAR ,INPL,8,n,,
TEX ,TP ,1,n,,
PICO ,ED ,3,n,Pine editor ,
IRCAMDR ,WI ,10,n,,
IRCAMPACK ,WI ,15,y,,
ISPELL ,TP ,4,n,,
IUEDR ,SP ,6,n,,
IUEDR ,WI ,3,n,,
JCMTDR ,IP ,10,n,,
JCMTDR ,WI ,6,n,,
JED ,ED ,2,n,,
JPEG ,GR ,4,n,,
JPEG ,GRPL,4,n,,
JPL ,PTPH,3,n,,
LATEX2HTML ,TP ,6,n,,
MAG ,DAPH,8,n,,
MAPLE ,MS ,1,n,,
NBS ,DAPL,3,n,,
MEMSYS ,MAPH,2,n,,
MERS ,SMPH,2,n,,
MESSGEN ,ST ,5,n,,
MONGO ,GR ,7,y,,
NAG ,MAPH,1,n,,
NCAR ,GRPH,3,n,,
NDF ,DAPH,3,n,,
NEWS ,IR ,3,n,,
NUTPU ,ED ,4,y,,
OBSERVE ,PT ,2,n,,
PAR ,DAPH,4,n,,
PAR ,INPH,1,n,,
PCS ,INPL,5,n,,
PDA ,MAPH,3,n,,
PERIOD ,TS ,1,n,,
PERL ,CL ,6,n,,
PGPLOT ,GRPH,1,n,,
PHOTOM ,IP ,8,n,,
C-SHELL ,CL ,11,n,Standard Unix C shell ,
PINE ,IR ,1,n,,
PISA ,IP ,5,n,,
POLMAP ,PO ,3,n,,
PONGO ,GR ,5,n,,
PRIMDAT ,DAPL,4,n,,
GRP ,DAPH,10,n,,
PSMERGE ,TP ,5,n,,
PSX ,INPH,2,n,,
REF ,DAPL,5,n,,
REPACK ,WI ,12,n,,
RPS ,OP ,4,n,,
RV ,PT ,5,n,,
SAE ,INPH,3,n,,
SAOIMAGE ,IP ,4,n,,
SGS ,GRPH,2,n,,
G77 ,CL ,4,n,Fortran 77 compiler for Linux ,
SKYCAL ,PT ,7,n,,
SLALIB ,PTPH,2,n,,
SM ,GR ,3,n,,
SNX ,GRPH,6,n,,
SPAG ,ST ,2,n,,
SPECX ,SP ,7,n,,
SPECX ,WI ,4,n,,
SPT ,ST ,6,n,,
STAR2HTML ,TP ,8,n,,
STARMAN ,IP ,14,y,,
STARTCL ,CL ,12,n,,
STARTCL ,INPL,4,n,,
SURF ,IP ,13,n,,
SURF ,WI ,13,n,,
SX ,IP ,12,n,,
TCL ,CL ,9,n,,
TCL ,INPL,1,n,,
TK ,CL ,10,n,,
TK ,INPL,2,n,,
TRANSFORM ,DAPL,6,n,,
TSP ,PO ,2,n,,
TSP ,TS ,2,n,,
TWODSPEC ,SP ,4,n,,
WFCPACK ,WI ,9,n,,
XANADU ,SE ,4,n,,
XDISPLAY ,GR ,2,n,,
STARX ,GRPH,8,n,,
STARX ,INPH,5,n,,
CC ,CL ,2,n,C compiler ,
F77 ,CL ,1,n,Fortran 77 compiler ,
FINDME ,IR ,4,n,Find documents about a topic ,
SHOWME ,IR ,5,n,Display a document ,
NETSCAPE ,IR ,6,n,Internet Browser ,
KAPPA ,IP ,2,n,Image processing and visualisation ,
POLPACK ,PO ,1,n,Imaging Polarimetry reduction ,
POLPACK ,IP ,6,n,Imaging Polarimetry reduction ,
NDFPERL ,CL ,7,n,,
XFIG ,GR ,6,n,Interactive figure generation ,
TREEVIEW,DH,3,n,Graphical Tool for Examination of HDS,
HDSTOOLS,DH,4,n,,
HDSTOOLS,IP,15,n,,
HDSTOOLS,SP,9,n,,
JNIAST,DAPH,11,n,,
JNIHDS,DAPH,12,n,,
AUTOASTROM,PT,4,n,,
FROG,SP,7,n,,
JSKY,PT,11,n,,
SOG,PT,11,n,,
SPLAT,SP,2,n,,
TABLECOPY,DH,9,n,,
TOPCAT,DH,9,n,,
ARRAY,DAPH,1,n,,
ASTGUI,GRPH,2,n,,
AXIS,INPH,6,n,,
COCO,GRPH,2,n,,
DOM4J,DAPH,1,n,,
FITS,DAPH,1,n,,
HDX,DAPH,1,n,,
JETTY,ST,2,n,,
JAIUTIL,INPH,6,n,,
JUNIT,ST,2,n,,
NDX,DAPH,1,n,,
PAL,PTPH,4,n,,
TABLE,DAPH,1,n,,
TAMFITS,DAPH,1,n,,
UTIL,INPH,6,n,,
VOTABLE,DAPH,1,n,,
COCO-J,PT ,1,n,,
HDS-J,DAPH,1,n,,
RV-J,GRPH,2,n,,
HELP,INPH,6,n,,
JPCS,INPH,6,n,,
MIRAGE,INPH,6,n,,
NDTOOLS,DAPH,1,n,,
DIVA,INPH,6,n,,
TASK,INPH,6,n,,
SOAPSERVER,INPH,6,n,,
