## release,date,specific_comment,generic_comment,
000 ,1991-04-11,,,
001 ,1991-04-11,,,
002 ,1991-04-11,,,
003 ,1991-05-13,,,
004 ,1991-05-23,,,
005 ,1991-06-10,,,
006 ,1991-08-12,,,
007 ,1991-09-02,,,
008 ,1991-10-02,,,
009 ,1991-10-07,,,
010 ,1991-10-31,,,
011 ,1991-11-15,,,
012 ,1991-11-22,,,
013 ,1991-12-09,,,
014 ,1992-01-08,,,
015 ,1992-01-10,,,
016 ,1992-01-13,,,
017 ,1992-01-23,,,
018 ,1992-02-16,,,
019 ,1992-02-20,,,
020 ,1992-02-20,,,
021 ,1992-03-12,,,
022 ,1992-03-26,,,
023 ,1992-04-05,,,
024 ,1992-04-13,,,
025 ,1992-05-01,,,
026 ,1992-05-08,,,
027 ,1992-05-18,,,
028 ,1992-05-22,,,
029 ,1992-06-02,,,
030 ,1992-06-08,,(tar files lost in disk crash, repeated 031) ,
031 ,1992-06-15,,,
032 ,1992-09-22,,Complete re-release of USSC ,
032A,1992-11-30,,,
033 ,1993-01-13,,,
034 ,1993-01-15,,,
035 ,1993-02-01,,,
036 ,1993-02-09,,,
037 ,1993-02-23,Documentation (new) ,,
038 ,1993-03-02,,,
039 ,1993-03-05,,,
040 ,1993-03-09,,,
039A,1993-03-12,,,
039B,1993-03-17,,,
041 ,1993-03-25,,,
042 ,1993-04-01,,,
043 ,1993-04-21,,,
044 ,1993-05-04,,,
045 ,1993-05-05,,,
045A,1993-05-05,,,
046 ,1993-05-13,,,
047 ,1993-05-26,,,
048 ,1993-05-28,,,
049 ,1993-06-17,,,
050 ,1993-07-15,,,
051 ,1993-08-11,Documentation, Information files ,,
052 ,1993-09-17,,,
053 ,1993-09-21,,,
053B,1993-09-29,,,
054 ,1993-09-30,,,
055 ,1993-10-06,,,
054B,1993-10-08,,,
056 ,1993-10-22,,,
057 ,1993-10-25,,,
058 ,1993-11-04,,,
058A,1993-11-11,,,
059 ,1993-11-11,,,
060 ,1993-11-19,,,
061 ,1993-12-02,,,
062 ,1993-12-07,,,
063 ,1993-12-22,,,
063A,1994-01-13,,,
064 ,1994-01-13,,,
065 ,1994-01-17,,Releases now apply to AXP OSF/1, Mips Ultrix, Sun4 SunOS 4, Sun4 Solaris 2 ,
066 ,1994-01-21,,,
066A,1994-01-21,,,
067 ,1994-01-26,,,
068 ,1994-02-24,,,
068A,1994-03-08,,,
069 ,1994-03-10,,,
070 ,1994-03-16,,,
071 ,1994-03-17,,,
070A,1994-03-24,,,
071A,1994-03-24,,,
072 ,1994-03-30,,Release 072 was last Mips Ultrix supported release. ,
073 ,1994-04-05,,Releases now apply to AXP OSF/1,Sun4 SunOS 4, Sun4 Solaris 2 ,
074 ,1994-04-15,,,
075 ,1994-04-20,,,
076 ,1994-04-26,,,
077 ,1994-04-27,,,
078 ,1994-04-29,,,
079 ,1994-05-22,,,
080 ,1994-05-26,,,
081 ,1994-07-05,,,
082 ,1994-07-06,,,
081A,1994-07-07,,,
083 ,1994-07-12,,,
084 ,1994-07-16,,,
085 ,1994-09-02,,,
086 ,1994-09-23,,,
087 ,1994-09-26,,,
088 ,1994-09-28,,,
089 ,1994-09-30,,,
090 ,1994-10-04,,,
091 ,1994-10-11,,,
092 ,1994-10-13,,,
093 ,1994-10-18,,,
094 ,1994-10-20,,,
095 ,1994-11-09,,,
096 ,1994-11-11,,,
097 ,1994-11-15,,,
098 ,1994-11-18,,,
099 ,1994-11-23,,,
100 ,1994-11-30,,,
101 ,1994-12-05,,,
102 ,1994-12-06,,,
103 ,1994-12-15,,,
104 ,1994-12-22,,,
105 ,1995-01-17,,,
106 ,1995-01-18,,,
107 ,1995-01-26,,,
108 ,1995-02-07,,,
109 ,1995-02-09,,,
110 ,1995-02-20,,,
111 ,1995-03-20,,Complete rebuild of core + applications released on tape. ,
112 ,1995-04-28,,,
112A,1995-05-04,,,
113 ,1995-05-17,,,
112B,1995-05-18,,,
114 ,1995-05-19,,,
115 ,1995-05-26,,,
116 ,1995-06-20,,,
117 ,1995-07-14,,,
118 ,1995-07-18,,,
119 ,1995-07-19,,,
120 ,1995-07-25,,,
121 ,1995-07-28,,,
122 ,1995-09-04,,,
123 ,1995-09-07,,,
124 ,1995-09-22,,,
125 ,1995-10-02,,,
126 ,1995-10-03,,,
127 ,1995-10-12,,,
128 ,1995-10-13,,,
127A,1995-10-16,,,
129 ,1995-10-17,,,
130 ,1995-10-20,,,
130A,1995-10-23,,,
131 ,1995-10-24,,,
132 ,1995-10-27,,,
133 ,1995-11-03,,,
134 ,1995-11-07,,,
134A,1995-11-10,,,
135 ,1995-11-13,,,
136 ,1995-11-16,,,
137 ,1995-11-17,,,
138 ,1995-12-01,,,
139 ,1995-12-05,,,
140 ,1995-12-06,,,
141 ,1995-12-07,,,
142 ,1995-12-14,,,
143 ,1995-12-15,,,
144 ,1995-12-18,,,
145 ,1995-12-22,,,
146 ,1996-01-11,,,
147 ,1996-01-16,,,
148 ,1996-01-17,,,
149 ,1996-01-31,,,
150 ,1996-02-13,,,
151 ,1996-02-22,,,
152 ,1996-03-07,,,
153 ,1996-03-08,,,
154 ,1996-03-12,,,
156 ,1996-03-14,,,
155 ,1996-03-14,,,
157 ,1996-03-20,,,
158 ,1996-04-16,,,
159 ,1996-04-22,,,
160 ,1996-04-25,,,
164 ,1996-06-03,,,
161 ,1996-04-30,,,
162 ,1996-05-14,,,
162A,1996-05-21,,,
163 ,1996-05-24,,,
165 ,1996-06-10,,,
166 ,1996-06-14,,,
167 ,1996-06-19,,,
168 ,1996-06-21,,,
169 ,1996-06-26,,,
170 ,1996-06-27,,,
171 ,1996-06-28,,,
172 ,1996-07-10,,,
174 ,1996-08-15,,,
173 ,1996-08-01,,,
176 ,1996-09-06,,,
175 ,1996-09-03,,,
177 ,1996-10-29,,,
179A,1996-12-06,,,
178 ,1996-11-05,,,
179 ,1996-12-04,,,
180 ,1996-12-09,,,
182 ,1997-01-15,,,
181 ,1996-12-17,,,
183 ,1997-01-17,,,
184 ,1997-01-20,,,
185 ,1997-01-22,,,
186 ,1997-02-19,,,
188 ,1997-02-28,,,
187 ,1997-02-27,,,
189 ,1997-03-03,,,
190 ,1997-03-04,,,
191 ,1997-03-05,,,
192 ,1997-03-06,,,
193 ,1997-03-07,,,
194 ,1997-03-10,,,
195 ,1997-03-14,,,
194A,1997-03-11,,,
196 ,1997-04-22,,,
197 ,1997-05-01,,,
198 ,1997-05-02,Documentation only ,,
199 ,1997-05-12,,,
201 ,1997-06-10,,,
200 ,1997-05-16,,,
201A,1997-06-13,,,
203 ,1997-07-21,,,
202 ,1997-06-24,,,
205 ,1997-07-31,,,
204 ,1997-07-28,,,
207 ,1997-10-15,,Autumn 1997 CD-ROM release - complete rebuild of all non-NAG items ,
206 ,1997-08-08,,,
209 ,1997-12-22,December 1997 docs + info files ,,
208 ,1997-11-20,November 1997 docs + info files ,,
210 ,1998-01-27,January 1998 docs + info files ,,
211 ,1998-04-07,,Spring 1998 CD-ROM release - complete rebuild of all non-NAG packages ,
212 ,1998-09-09,,Autumn 1998 CD-ROM release - complete rebuild of all non-NAG packages ,
213 ,1999-03-19,,Spring 1999 CD-ROM release - complete rebuild of all non-NAG packages ,
214 ,1999-11-16,,Autumn 1999 CD-ROM release - complete rebuild of all non-NAG components ,
215 ,2000-06-13,,Spring 2000 CD-ROM release - complete rebuild of all non-NAG components ,
216 ,2002-03-22,,Spring 2002 CD-ROM release - complete rebuild of all components ,
217,2002-12-11,,Autumn 2002 CD-ROM release - complete rebuild of all components,
218,2003-08-27,RedHat 7.3/9.0, Solaris 9 and Tru64,Summer 2003 CD-ROM release - complete rebuild of all components,
219,2004-06-03,RedHat 9.0/EL, Solaris and Debian,Spring 2004 CD-ROM release - complete rebuild of all components,
