Name	Status	In CVS	Contact (blank if owner in component.xml)	Copyright	Comments		
A2PS	U		Software Librarian				
AGI	S	yes					
AIPS	U		Alan Chipperfield				
ARD	S	yes					
ARY	S	yes					
AST	S	yes					
ASTROM	S	yes					
ASURV	U		Software Librarian		P.M. Allan, M.J. Bly		
ATOOLS	S	yes					
AUTOASTROM	S		Norman Gray		Being reimplemented by JAC		
CAT	S	yes		CLRC			
CATPAC	U	obsolete			Not in sources, not autoconfed		
CCDPACK	S	yes		CLRC, apart from obsolete dir		
CFITSIO	U	thirdparty			AJC,MJB (No doc),(external pkg)			
CGS4DR	U		Frossie Economou				
CHART	U	obsolete	Clive Davenhall				
CHR	S	yes		CLRC			
CNF	S	yes		CLRC			
COCO	S	yes					
CONVERT	S	yes			MJC takes this		
CURSA	S	yes		CLRC			
DAOPHOT	U	yes		Peter Stetson/DAO	Starlink version with NDF support			
DATACUBE	S	yes					
DIPSO	S	yes			needs SGS, NCAR, SNX		
DOCFIND	S	yes					
DOCS	S		Software Librarian		In CVS, but not as one component			
ECHOMOP	S	yes					
ECHWIND	S						
EDFITS	U		Keith Shortridge				
EMACS	U		Brian McIlwrath				
EMAIL	U	obsolete	Software Librarian				
EMS	S	yes		CLRC			
ESP	S	yes			Refactoring required		
EXPECT	X		Dave Terrett				
EXTRACTOR	S	yes		CLRC			
EXTREME	U	yes		CLRC		
FIGARO	S	yes					
FINDCOORDS	U	yes			Missing cursa.cfg		
FIO	S	yes			Needs per-compiler syserr, not per-OS			
FLUXES	J		Tim Jenness				
FORUM	U		David Rawlinson				
FROG	S	java	Alasdair Allan		Should presumably be in CVS		
FTNCHEK	U		Clive Page				
GAIA	S	yes		CLRC			
GCC	U		Brian McIlwrath				
GENERIC	S	yes			Alan Chipperfield		
GHOSTSCRIPT	U		Software Librarian				
GKS	X	yes			KMXIO issue		
GNS	X	yes					
GRAPHPAR	S	yes					
GRP	S	yes					
GSD	J		Tim Jenness		Linux Port V1.0		
GV	U		Brian McIlwrath				
GWM	X	yes	Dave Terrett				
HDS	S	yes					
HDSTOOLS	S	yes		CLRC + University of Birmingham			
HDSTRACE	S	yes					
HLP	S	yes			Have C version		
HTX	S	yes		CLRC			
ICL	S	yes					
IDI	U	yes					
IDL	U		Jeff Payne	IDL Inc			
IFD	S	yes			initially PWD chosen but now AA			
IMG	S	yes		CLRC			
INFO	S		Software Librarian		Files generated externally		
INIT	S	yes			Problem with datestamps		
IRAF	U		Software Librarian				
IRAFSTAR	U		Alan Chipperfield				
IRAS90	U	obsolete			Autoconfed, but not de-nagged		
IRCAMDR	U	obsolete	Frossie Economou		De-nagged		
IRCAMPACK	U	obsolete	David Berry		Not autoconfed		
ISPELL	U		Brian McIlwrath				
ITCL	U	thirdparty		
IUEDR	U		Mark Taylor	CLRC			
JCMTDR	U		Tim Jenness		Needs Figaro libs		
JED	U		Brian McIlwrath				
JNIAST	S	java	Mark Taylor	CLRC			
JNIHDS	S	java	Mark Taylor	CLRC			
JPEG	U	yes					
JPL	S	yes					
JRE	U		Software Librarian		Needs jre+jai		
KAPLIBS	S	yes					
KAPPA	S	yes					
KAPRH	U	yes					
LATEX2HTML	S		Peter Draper		Used in star2html		
MAG	X	yes					
MAPLE	U		Software Librarian	Adept Scientific			
MEMSYS	U		David Berry	MEDC Ltd	Commercial package		
MERS	X	yes					
MESSGEN	S	yes					
MIDAS	U						
MONGO	U		John Tonry				
MOSAIC	U			NCSA			
NAG	U		Software Librarian	NAG Ltd			
NAOS	U		Clive Davenhall				
NBS	S	yes					
NCAR	U	thirdparty					
NDF	S	yes					
NDFPERL	J		Tim Jenness				
NDG	S	yes					
NDPROGS	U	obsolete			not autoconfed		
NEWS	S		Software Librarian				
NUTPU	U						
OBSERVE	U		Software Librarian		MJB, last to update it		
ONE	X	yes					
ORAC-DR	J		Tim Jenness, Frossie Economou		In JAC repository		
PAR	S	yes					
PCS	X	yes					
PDA	S	yes					
PERIOD	U	obsolete			see FROG		
PERL	S		Software Librarian				
PERLMODS	S		Software Librarian		CPAN modules		
PGP	S	yes					
PGPLOT	S	thirdparty	Alasdair Allan		Conditional compiling?		
PHOTOM	S	yes					
PINE	U		Software Librarian				
PISA	U	yes					
POLMAP	U		Tim Harries		USSC last updated it.		
POLPACK	S	yes					
PONGO	U	yes					
PRM	S	yes			Used to be called PRIMDAT		
PSMERGE	X		Dave Terrett		Better than `standard' version		
PSX	X	yes					
REF	X	yes					
REPACK	U	obsolete	Jeremy Ashley				
RGASP	U		Jon Davies				
RPS	U		Martin Ricketts				
RUNTIME	S		Software Librarian		Needed for distribution, but does not build anything -- packages pre-built files					
RV	S	yes					
SAE	X	yes					
SAOIMAGE	U		Software Librarian		external pkg		
SCB	U	yes		CLRC	Requires classic-style source tree			
SGS	S	yes					
SHL	S	yes				
SKYCAL	U		John Thorstensen		external pkg		
SLALIB	S	yes					
SM	U		Patricia Monger				
SNX	U	yes			Problems linking shared libraries (common blocks)				
SOFTLINK	U		Dave Terrett				
SPAG	U		Software Librarian	Polyhedron Software			
SPECX	J		Tim Jenness		In JAC repository		
SPLAT	S	java	Peter Draper	CLRC			
SPT	U	yes			Includes SOFTLINK		
SST	S	yes		CLRC			
STAR2HTML	S	yes		CLRC	Some outstanding problems		
STARADMIN	U		Tim Gledhill				
STARJAVA	S		Mark Taylor	CLRC			
STARMAN	U	obsolete	Alan Penny		not autoconfed		
STARPERL	J		Tim Jenness				
STARTCL	S	yes					
STARX	U	yes					
SURF	J		Tim Jenness		JAC repository		
SX	U	yes	David Berry		Ported to OpenDX/g77.  Not autoconfed			
TAPEIO	U		Keith Shortridge				
TCL	X	thirdparty		
TCSH	U		Brian McIlwrath				
TEX	U		Brian McIlwrath	D E Knuth	
TK	X	thirdparty		
TPOINT	S		Patrick Wallace				
TREEVIEW	S	java	Mark Taylor	CLRC			
TRN	S	yes			Otherwise/once known as TRANSFORM			
TSP	U	yes	Jeremy Bailey				
TWODSPEC	U		Anthony Holloway				
WFCPACK	U		Jeremy Ashley, Mike Denby				
XANADU	U		Keith Arnaud, Orin Day	GSFC			
XDISPLAY	S		Brian McIlwrath				
XEMACS	U		Brian McIlwrath				
XFIG	U		Brian McIlwrath				
XRT	X		Vito Graffagnino		Roy Platon (Orig).  MJC will review this code.  Clive has SUN, Vito has source.					
XV	U		Software Librarian				
	
	
	
	
	
	Name: Package name.  Where a package is in CVS, this is its `component' name						
	Status: S=supported, U=unsupported, X=to be reassigned, J=supported by JAC							
	CVS status: yes=in CVS; obsolete=in the obsolete tree; thirdparty=in the thirdparty tree; java=this is a java package name, rather than a component name									
	Maintainer: A contact name.  Components which are in CVS should have a <role>owner</role> element in their component.xml								
	    indicating the owner/maintainer, and no entry in this column				
	Copyright: the copyright owner(s).  Where this is CLRC, the licence will be GPL						
	Comments: anything else?				
	
$Id$				
